Customer ID,Full Name,Country,Country Code,City,Gender,Ethnicity,Business Unit,Product Category,Product,Purchage Amount,Price,Qty,Discount,Total Price,GST Rate,Shipment mode
US14,Bella Powell,United States,US,Phoenix,Female,Black,B2C,Home Appliance,Oven,3040,9500,3,3%,27645,18%,Air
US15,Camila Silva,United States,US,Seattle,Female,Latino,B2C,Home Appliance,AC,17460,87300,1,11%,77697,28%,Air
US16,David Barnes,United States,US,Columbus,Male,Caucasian,B2B,Home Appliance,TV,8295,39500,36,38%,881640,18%,Air
CH4,Adam Dang,China,CH,Chongqing,Male,Asian,B2C,Office Equipment,Desktop,10920,31200,2,4%,59904,18%,Air
BR1,Elias Alvarado,Brazil,BR,Manaus,Male,Latino,B2B,Home Appliance,AC,25812,95600,15,39%,874740,28%,Air
US17,Eva Rivera,United States,US,Miami,Female,Latino,B2B,Office Equipment,Oven,2793,13300,41,34%,359898,18%,Air
BR2,Logan Rivera,Brazil,BR,Rio de Janerio,Male,Latino,B2C,Home Appliance,AC,16324,74200,1,13%,64554,28%,Air
US18,Leonardo Dixon,United States,US,Seattle,Male,Caucasian,B2B,Home Appliance,Oven,3841,16700,36,36%,384768,18%,Air
CH5,Mateo Her,China,CH,Chongqing,Male,Asian,B2C,Home Appliance,Air Purifier,3888,14400,2,13%,25056,18%,Air
US19,Jose Henderson,United States,US,Columbus,Male,Black,B2C,Office Equipment,Mircowave,2640,11000,1,13%,9570,18%,Air
BR3,Abigail Mejia,Brazil,BR,Rio de Janerio,Female,Latino,B2C,Home Appliance,waching machine,9988,45400,1,4%,43584,28%,Air
US20,Wyatt Chin,United States,US,Seattle,Male,Asian,B2C,Home Appliance,waching machine,13300,66500,1,15%,56525,28%,Air
CH6,Carson Lu,China,CH,Beijing,Male,Asian,B2C,Office Equipment,Printer,17080,42700,3,8%,117852,18%,Air
CH7,Dylan Choi,China,CH,Beijing,Male,Asian,B2C,Office Equipment,Printer,14001,35900,2,8%,66056,18%,Air
US21,Ezekiel Kumar,United States,US,Columbus,Male,Asian,B2C,Home Appliance,AC,41300,147500,3,3%,429225,28%,Air
BR4,Dominic Guzman,Brazil,BR,Manaus,Male,Latino,B2C,Home Appliance,Mircowave,2838,12900,3,14%,33282,18%,Air
US22,Angel Powell,United States,US,Seattle,Male,Caucasian,B2C,Home Appliance,AC,35282,135700,3,6%,382674,28%,Air
CH8,Mateo Vu,China,CH,Chongqing,Male,Asian,B2C,Home Appliance,Oven,2496,6400,3,15%,16320,18%,Air
US23,Caroline Jenkins,United States,US,Chicago,Female,Caucasian,B2C,Home Appliance,Vacuum Cleaner,1440,4500,2,3%,8730,18%,Air
US24,Nora Brown,United States,US,Austin,Female,Caucasian,B2C,Home Appliance,TV,54714,165800,1,2%,162484,18%,Air
CH9,Adeline Huang,China,CH,Chengdu,Female,Asian,B2C,Home Appliance,waching machine,27560,68900,1,0%,68900,28%,Air
US25,Jackson Perry,United States,US,Phoenix,Male,Caucasian,B2C,Home Appliance,Mircowave,1035,4500,1,3%,4365,18%,Air
US26,Riley Padilla,United States,US,Miami,Female,Latino,B2C,Home Appliance,Air Purifier,14985,40500,3,14%,104490,18%,Air
BR5,Leah Pena,Brazil,BR,Manaus,Female,Latino,B2B,Home Appliance,Dishwasher,10878,51800,42,41%,1283604,18%,Air
CH10,Owen Lam,China,CH,Chengdu,Male,Asian,B2C,Home Appliance,Dishwasher,6952,31600,3,7%,88164,18%,Air
US27,Kennedy Foster,United States,US,Austin,Female,Caucasian,B2C,Home Appliance,Fridge,10480,52400,1,15%,44540,18%,Air
US28,John Moore,United States,US,Seattle,Male,Caucasian,B2C,Home Appliance,Mircowave,2100,6000,3,6%,16920,18%,Air
CH11,William Vu,China,CH,Shanghai,Male,Asian,B2C,Office Equipment,Mircowave,2943,10900,1,7%,10137,18%,Air
US29,Sadie Washington,United States,US,Phoenix,Female,Caucasian,B2C,Home Appliance,Vacuum Cleaner,1056,4800,1,10%,4320,18%,Air
US30,Gabriel Holmes,United States,US,Seattle,Male,Caucasian,B2C,Office Equipment,Printer,6693,29100,3,6%,82062,18%,Air
US31,Wyatt Rojas,United States,US,Austin,Male,Latino,B2B,Office Equipment,Desktop,9724,28600,32,39%,558272,18%,Air
US32,Eva Coleman,United States,US,Seattle,Female,Black,B2C,Office Equipment,Telephone,825,3300,3,3%,9603,18%,Air
US33,Dominic Clark,United States,US,Phoenix,Male,Caucasian,B2B,Home Appliance,AC,30050,120200,34,31%,2819892,28%,Air
US34,Lucy Alexander,United States,US,Seattle,Female,Caucasian,B2C,Home Appliance,Mircowave,4650,15000,1,5%,14250,18%,Air
US35,Everleigh Washington,United States,US,Phoenix,Female,Caucasian,B2C,Home Appliance,Fridge,7192,24800,1,6%,23312,18%,Air
US36,Leilani Butler,United States,US,Phoenix,Female,Black,B2C,Home Appliance,AC,34272,122400,3,8%,337824,28%,Air
CH12,Peyton Huang,China,CH,Beijing,Female,Asian,B2C,Office Equipment,Telephone,1617,4900,1,6%,4606,18%,Air
US37,John Contreras,United States,US,Columbus,Male,Latino,B2C,Home Appliance,Air Purifier,9888,41200,2,3%,79928,18%,Air
US38,Rylee Yu,United States,US,Seattle,Female,Asian,B2C,Office Equipment,Oven,3080,15400,1,13%,13398,18%,Air
US39,Piper Lewis,United States,US,Chicago,Female,Caucasian,B2C,Office Equipment,Laptop,29232,81200,2,0%,162400,18%,Air
US40,Stella Alexander,United States,US,Chicago,Female,Caucasian,B2C,Home Appliance,waching machine,4725,18900,3,0%,56700,28%,Air
US41,Addison Do,United States,US,Columbus,Female,Asian,B2C,Office Equipment,Laptop,16100,46000,2,13%,80040,18%,Air
US42,Zoey Jackson,United States,US,Miami,Female,Black,B2C,Office Equipment,Coffee Vender Machin,22386,57400,2,10%,103320,18%,Air
CH13,John Chow,China,CH,Chengdu,Male,Asian,B2C,Office Equipment,Laptop,7140,25500,2,5%,48450,18%,Air
BR6,Ava Ayala,Brazil,BR,Manaus,Female,Latino,B2B,Office Equipment,Desktop,13764,44400,14,45%,341880,18%,Air
BR7,Natalia Salazar,Brazil,BR,Manaus,Female,Latino,B2C,Home Appliance,waching machine,27608,81200,3,5%,231420,28%,Air
US43,Skylar Carrillo,United States,US,Austin,Female,Latino,B2C,Office Equipment,Telephone,552,2300,3,13%,6003,18%,Air
US44,Christian Sanders,United States,US,Seattle,Male,Black,B2C,Home Appliance,Fridge,10362,31400,3,14%,81012,18%,Air
US45,Penelope Coleman,United States,US,Miami,Female,Black,B2B,Home Appliance,Fridge,5312,16600,14,48%,120848,18%,Air
US46,Piper Richardson,United States,US,Columbus,Female,Caucasian,B2C,Office Equipment,Telephone,858,3300,3,4%,9504,18%,Air
US47,Everly Walker,United States,US,Seattle,Female,Caucasian,B2C,Home Appliance,Mircowave,4824,13400,1,0%,13400,18%,Air
US48,Aurora Ali,United States,US,Seattle,Female,Asian,B2C,Office Equipment,Coffee Vender Machin,20384,78400,1,5%,74480,18%,Air
US49,Penelope Guerrero,United States,US,Seattle,Female,Latino,B2B,Office Equipment,Coffee Vender Machin,23166,70200,24,45%,926640,18%,Air
US50,Anna Mehta,United States,US,Seattle,Female,Asian,B2B,Home Appliance,Air Purifier,5980,23000,34,38%,484840,18%,Air
US51,William Foster,United States,US,Phoenix,Male,Caucasian,B2C,Home Appliance,waching machine,21351,64700,1,13%,56289,28%,Air
US52,Jade Rojas,United States,US,Phoenix,Female,Latino,B2B,Office Equipment,Laptop,14123,48700,49,30%,1670410,18%,Air
BR8,Isla Espinoza,Brazil,BR,Manaus,Female,Latino,B2C,Office Equipment,Mircowave,3549,9100,3,1%,27027,18%,Air
US53,David Chu,United States,US,Seattle,Male,Asian,B2C,Home Appliance,Dishwasher,8200,32800,2,8%,60352,18%,Air
BR9,Thomas Padilla,Brazil,BR,Sao Paulo,Male,Latino,B2C,Home Appliance,Dishwasher,10948,39100,2,4%,75072,18%,Air
BR10,Miles Salazar,Brazil,BR,Sao Paulo,Male,Latino,B2C,Home Appliance,TV,44948,132200,3,7%,368838,18%,Air
CH14,Mila Hong,China,CH,Chongqing,Female,Asian,B2C,Home Appliance,waching machine,29156,78800,1,7%,73284,28%,Air
CH15,Benjamin Moua,China,CH,Chongqing,Male,Asian,B2C,Home Appliance,Dishwasher,11739,30100,3,1%,89397,18%,Air
US54,Samuel Morales,United States,US,Phoenix,Male,Latino,B2C,Home Appliance,Mircowave,1440,6000,3,5%,17100,18%,Air
US55,John Soto,United States,US,Phoenix,Male,Latino,B2C,Office Equipment,Coffee Vender Machin,28462,74900,2,9%,136318,18%,Air
US56,Joseph Martin,United States,US,Miami,Male,Black,B2C,Office Equipment,Mircowave,2044,7300,3,10%,19710,18%,Air
US57,Jose Ross,United States,US,Miami,Male,Caucasian,B2B,Office Equipment,Laptop,5200,26000,49,40%,764400,18%,Air
US58,Parker James,United States,US,Austin,Male,Black,B2C,Home Appliance,Oven,2040,6000,3,9%,16380,18%,Air
BR11,Everleigh Fernandez,Brazil,BR,Manaus,Female,Latino,B2C,Home Appliance,Vacuum Cleaner,748,3400,1,8%,3128,18%,Air
US59,Lincoln Hall,United States,US,Chicago,Male,Caucasian,B2C,Home Appliance,Vacuum Cleaner,1176,4900,2,6%,9212,18%,Air
CH16,Willow Mai,China,CH,Chengdu,Female,Asian,B2C,Home Appliance,Mircowave,1955,8500,1,2%,8330,18%,Air
CH17,Jack Cheng,China,CH,Beijing,Male,Asian,B2C,Home Appliance,Vacuum Cleaner,2106,5400,1,12%,4752,18%,Air
BR12,Genesis Navarro,Brazil,BR,Manaus,Female,Latino,B2B,Office Equipment,Printer,3875,15500,23,38%,221030,18%,Air
BR13,Eliza Hernandez,Brazil,BR,Rio de Janerio,Female,Latino,B2C,Home Appliance,TV,9702,44100,1,4%,42336,18%,Air
US60,Gabriel Brooks,United States,US,Miami,Male,Caucasian,B2C,Home Appliance,Air Purifier,9724,28600,3,9%,78078,18%,Air
CH18,Jack Huynh,China,CH,Chongqing,Male,Asian,B2C,Home Appliance,Mircowave,1029,4900,2,5%,9310,18%,Air
CH19,Everly Chow,China,CH,Beijing,Female,Asian,B2C,Home Appliance,Dishwasher,12122,41800,1,2%,40964,18%,Air
BR14,Amelia Salazar,Brazil,BR,Sao Paulo,Female,Latino,B2B,Home Appliance,Mircowave,1950,6500,12,36%,49920,18%,Air
US61,Xavier Zheng,United States,US,Austin,Male,Asian,B2B,Office Equipment,Laptop,10758,32600,48,38%,970176,18%,Air
US62,Matthew Chau,United States,US,Seattle,Male,Asian,B2C,Home Appliance,Oven,2700,9000,3,6%,25380,18%,Air
US63,Mia Cheng,United States,US,Phoenix,Female,Asian,B2C,Office Equipment,Telephone,1216,3800,3,1%,11286,18%,Air
CH20,Rylee Yu,China,CH,Beijing,Female,Asian,B2C,Home Appliance,TV,40274,154900,2,4%,297408,18%,Air
BR15,Zoe Romero,Brazil,BR,Sao Paulo,Female,Latino,B2C,Office Equipment,Mircowave,1940,9700,3,14%,25026,18%,Air
CH21,Nolan Bui,China,CH,Shanghai,Male,Asian,B2C,Office Equipment,Coffee Vender Machin,13149,48700,1,1%,48213,18%,Air
US64,Nevaeh Jones,United States,US,Austin,Female,Caucasian,B2C,Office Equipment,Telephone,242,1100,3,13%,2871,18%,Air
US65,Samantha Adams,United States,US,Seattle,Female,Caucasian,B2C,Home Appliance,Fridge,17427,47100,1,12%,41448,18%,Air
US66,Madeline Shin,United States,US,Seattle,Female,Asian,B2C,Home Appliance,Air Purifier,9976,34400,3,0%,103200,18%,Air
US67,Noah King,United States,US,Miami,Male,Black,B2C,Office Equipment,Telephone,868,2800,2,5%,5320,18%,Air
CH22,Leilani Chow,China,CH,Beijing,Female,Asian,B2C,Office Equipment,Mircowave,1680,5600,3,0%,16800,18%,Air
US68,Connor Simmons,United States,US,Miami,Male,Caucasian,B2C,Office Equipment,Printer,17568,48800,3,9%,133224,18%,Air
US69,Grayson Cooper,United States,US,Columbus,Male,Black,B2C,Office Equipment,Printer,18468,51300,2,1%,101574,18%,Air
US70,Ivy Soto,United States,US,Austin,Female,Latino,B2C,Home Appliance,waching machine,15225,72500,3,7%,202275,28%,Air
US71,Aurora Simmons,United States,US,Austin,Female,Caucasian,B2C,Home Appliance,Dishwasher,9338,32200,3,6%,90804,18%,Air
US72,Andrew Thomas,United States,US,Columbus,Male,Caucasian,B2B,Home Appliance,Dishwasher,14730,49100,19,35%,606385,18%,Air
US73,Ezekiel Desai,United States,US,Seattle,Male,Asian,B2C,Home Appliance,Air Purifier,11281,38900,1,3%,37733,18%,Air
CH23,Gabriella Gupta,China,CH,Shanghai,Female,Asian,B2C,Home Appliance,Oven,6755,19300,1,9%,17563,18%,Air
CH24,Skylar Liu,China,CH,Chengdu,Female,Asian,B2C,Home Appliance,Fridge,10143,44100,2,3%,85554,18%,Air
US74,Nova Coleman,United States,US,Miami,Female,Caucasian,B2C,Office Equipment,Mircowave,5694,14600,3,5%,41610,18%,Air
US75,Evelyn Dinh,United States,US,Columbus,Female,Asian,B2C,Office Equipment,Coffee Vender Machin,25952,81100,1,6%,76234,18%,Air
US76,Brooks Marquez,United States,US,Chicago,Male,Latino,B2C,Home Appliance,AC,45477,146700,3,3%,426897,28%,Air
US77,Connor Joseph,United States,US,Chicago,Male,Caucasian,B2C,Office Equipment,Mircowave,2106,8100,2,15%,13770,18%,Air
US78,Mia Lam,United States,US,Austin,Female,Asian,B2C,Office Equipment,Printer,12600,31500,3,2%,92610,18%,Air
BR16,Scarlett Rodriguez,Brazil,BR,Manaus,Female,Latino,B2C,Home Appliance,Vacuum Cleaner,2016,5600,3,4%,16128,18%,Air
US79,Cora Rivera,United States,US,Seattle,Female,Latino,B2B,Office Equipment,Oven,1232,5600,26,33%,97552,18%,Air
CH25,Liam Jung,China,CH,Chengdu,Male,Asian,B2C,Home Appliance,Oven,2499,11900,2,4%,22848,18%,Air
US80,Sophia Huynh,United States,US,Miami,Female,Asian,B2C,Office Equipment,Coffee Vender Machin,26688,83400,2,4%,160128,18%,Air
US81,Athena Carrillo,United States,US,Columbus,Female,Latino,B2C,Home Appliance,TV,23205,59500,1,12%,52360,18%,Air
US82,Greyson Sanders,United States,US,Chicago,Male,Black,B2C,Home Appliance,Oven,2379,6100,1,9%,5551,18%,Air
US83,Vivian Lewis,United States,US,Columbus,Female,Caucasian,B2C,Office Equipment,Oven,4925,19700,1,12%,17336,18%,Air
CH26,Elena Vang,China,CH,Beijing,Female,Asian,B2C,Home Appliance,Oven,5775,16500,1,11%,14685,18%,Air
US84,Natalia Diaz,United States,US,Austin,Female,Latino,B2C,Office Equipment,Desktop,9750,32500,2,5%,61750,18%,Air
CH27,Mila Leung,China,CH,Beijing,Female,Asian,B2B,Home Appliance,Air Purifier,13838,40700,23,38%,580382,18%,Raod
US85,Ava Nelson,United States,US,Phoenix,Female,Caucasian,B2C,Office Equipment,Laptop,7488,28800,3,8%,79488,18%,Air
CH28,Mateo Chu,China,CH,Chengdu,Male,Asian,B2C,Office Equipment,Coffee Vender Machin,15424,48200,2,3%,93508,18%,Air
CH29,Isla Lai,China,CH,Shanghai,Female,Asian,B2C,Office Equipment,Laptop,19880,56800,1,4%,54528,18%,Air
US86,Ezekiel Reed,United States,US,Miami,Male,Caucasian,B2C,Office Equipment,Mircowave,3144,13100,2,15%,22270,18%,Air
BR17,Nolan Guzman,Brazil,BR,Sao Paulo,Male,Latino,B2C,Office Equipment,Coffee Vender Machin,21021,53900,1,11%,47971,18%,Air
US87,Everleigh Espinoza,United States,US,Austin,Female,Latino,B2C,Home Appliance,Oven,1624,5800,3,10%,15660,18%,Air
CH30,Evelyn Jung,China,CH,Beijing,Female,Asian,B2C,Office Equipment,Telephone,962,3700,2,15%,6290,18%,Air
BR18,Sophie Silva,Brazil,BR,Rio de Janerio,Female,Latino,B2C,Office Equipment,Desktop,10710,30600,2,11%,54468,18%,Air
US88,Mateo Williams,United States,US,Austin,Male,Caucasian,B2C,Home Appliance,waching machine,10626,46200,3,15%,117810,28%,Air
CH31,Kennedy Rahman,China,CH,Chongqing,Female,Asian,B2C,Home Appliance,Vacuum Cleaner,2128,5600,2,13%,9744,18%,Air
BR19,Levi Mendez,Brazil,BR,Rio de Janerio,Male,Latino,B2B,Office Equipment,Telephone,504,2100,19,47%,21147,18%,Air
CH32,Julian Fong,China,CH,Chongqing,Male,Asian,B2C,Office Equipment,Telephone,1305,4500,1,4%,4320,18%,Air
CH33,Nevaeh Kang,China,CH,Chengdu,Female,Asian,B2C,Office Equipment,Telephone,1008,2800,2,10%,5040,18%,Air
US89,Hannah Nelson,United States,US,Austin,Female,Caucasian,B2B,Home Appliance,Vacuum Cleaner,1760,4400,18,43%,45144,18%,Air
US90,Anthony Rogers,United States,US,Columbus,Male,Caucasian,B2C,Office Equipment,Telephone,1598,4700,2,7%,8742,18%,Air
CH34,Paisley Kang,China,CH,Beijing,Female,Asian,B2C,Office Equipment,Desktop,11739,30100,1,15%,25585,18%,Air
CH35,Matthew Gupta,China,CH,Beijing,Male,Asian,B2C,Home Appliance,AC,22914,60300,1,15%,51255,28%,Air
US91,Silas Chavez,United States,US,Columbus,Male,Latino,B2C,Home Appliance,Vacuum Cleaner,1692,4700,1,5%,4465,18%,Air
CH36,Colton Thao,China,CH,Chongqing,Male,Asian,B2B,Home Appliance,Dishwasher,13455,34500,42,42%,840420,18%,Raod
US92,Genesis Perry,United States,US,Columbus,Female,Caucasian,B2C,Home Appliance,Air Purifier,4860,16200,1,13%,14094,18%,Air
US93,Alexander Bryant,United States,US,Seattle,Male,Caucasian,B2C,Office Equipment,Printer,8398,24700,2,13%,42978,18%,Air
CH37,Elias Zhang,China,CH,Beijing,Male,Asian,B2B,Home Appliance,Vacuum Cleaner,1664,5200,32,42%,96512,18%,Raod
US94,Lily Carter,United States,US,Phoenix,Female,Caucasian,B2C,Home Appliance,waching machine,28800,72000,2,13%,125280,28%,Air
BR20,Joseph Ruiz,Brazil,BR,Sao Paulo,Male,Latino,B2B,Office Equipment,Laptop,13350,53400,23,36%,786048,18%,Air
US95,Avery Bailey,United States,US,Phoenix,Female,Caucasian,B2C,Home Appliance,Fridge,5481,26100,2,0%,52200,18%,Air
CH38,Miles Hsu,China,CH,Chengdu,Male,Asian,B2B,Office Equipment,Mircowave,3472,11200,33,46%,199584,18%,Raod
US96,Piper Cheng,United States,US,Miami,Female,Asian,B2C,Home Appliance,Dishwasher,13650,54600,2,10%,98280,18%,Air
US97,Skylar Watson,United States,US,Phoenix,Female,Caucasian,B2C,Home Appliance,Mircowave,3450,15000,2,1%,29700,18%,Air
CH39,Jaxon Park,China,CH,Chengdu,Male,Asian,B2C,Home Appliance,Mircowave,2940,14000,1,4%,13440,18%,Air
US98,Elijah Henry,United States,US,Miami,Male,Caucasian,B2B,Home Appliance,TV,18390,61300,24,43%,838584,18%,Air
US99,Camila Watson,United States,US,Austin,Female,Caucasian,B2C,Office Equipment,Laptop,10857,51700,2,14%,88924,18%,Air
US100,Lucas Thomas,United States,US,Miami,Male,Caucasian,B2B,Home Appliance,Dishwasher,16302,42900,26,50%,557700,18%,Air
US101,Skylar Doan,United States,US,Seattle,Female,Asian,B2B,Home Appliance,Mircowave,3718,14300,32,39%,279136,18%,Air
US102,Hudson Liu,United States,US,Miami,Male,Asian,B2B,Home Appliance,Vacuum Cleaner,1287,3900,18,50%,35100,18%,Air
US103,Gianna Williams,United States,US,Chicago,Female,Black,B2B,Office Equipment,Oven,5320,15200,31,49%,240312,18%,Air
BR21,Jaxson Sandoval,Brazil,BR,Sao Paulo,Male,Latino,B2C,Office Equipment,Telephone,665,1900,3,0%,5700,18%,Air
BR22,Jameson Alvarado,Brazil,BR,Sao Paulo,Male,Latino,B2C,Home Appliance,AC,37740,102000,2,15%,173400,28%,Air
CH40,Joseph Ly,China,CH,Chongqing,Male,Asian,B2C,Home Appliance,AC,30534,145400,3,9%,396942,28%,Air
US104,Daniel Richardson,United States,US,Austin,Male,Caucasian,B2C,Home Appliance,Mircowave,3696,11200,2,4%,21504,18%,Air
US105,Elias Figueroa,United States,US,Phoenix,Male,Latino,B2C,Home Appliance,Oven,2380,7000,1,13%,6090,18%,Air
US106,Emma Brooks,United States,US,Austin,Female,Caucasian,B2C,Home Appliance,TV,32368,95200,1,0%,95200,18%,Air
US107,Isla Wong,United States,US,Austin,Female,Asian,B2B,Office Equipment,Laptop,19710,73000,45,45%,1806750,18%,Air
US108,Everly Walker,United States,US,Austin,Female,Caucasian,B2C,Office Equipment,Telephone,870,3000,2,4%,5760,18%,Air
BR23,Mila Pena,Brazil,BR,Manaus,Female,Latino,B2C,Home Appliance,Air Purifier,7857,29100,1,12%,25608,18%,Air
CH41,Mason Zhao,China,CH,Chongqing,Male,Asian,B2C,Home Appliance,AC,32096,94400,3,6%,266208,28%,Air
US109,Jaxson Mai,United States,US,Austin,Male,Asian,B2C,Home Appliance,Vacuum Cleaner,1815,5500,3,8%,15180,18%,Air
US110,Ava Garza,United States,US,Phoenix,Female,Latino,B2C,Home Appliance,Air Purifier,5694,14600,1,14%,12556,18%,Air
US111,Nathan Mendez,United States,US,Austin,Male,Latino,B2B,Home Appliance,waching machine,9030,43000,14,47%,319060,28%,Air
US112,Maria Griffin,United States,US,Miami,Female,Caucasian,B2C,Office Equipment,Desktop,5724,21200,2,1%,41976,18%,Air
US113,Alexander Choi,United States,US,Chicago,Male,Asian,B2B,Office Equipment,Mircowave,1863,6900,21,42%,84042,18%,Air
CH42,Maria Hong,China,CH,Chongqing,Female,Asian,B2C,Office Equipment,Mircowave,3600,12000,3,1%,35640,18%,Air
US114,Sophie Ali,United States,US,Columbus,Female,Asian,B2C,Home Appliance,Oven,3696,16800,1,8%,15456,18%,Air
US115,Julian Ross,United States,US,Miami,Male,Caucasian,B2C,Home Appliance,TV,37560,187800,1,5%,178410,18%,Air
US116,Emma Hill,United States,US,Miami,Female,Caucasian,B2B,Office Equipment,Laptop,11232,43200,19,47%,435024,18%,Air
CH43,Leilani Yee,China,CH,Chengdu,Female,Asian,B2C,Office Equipment,Desktop,13000,32500,1,3%,31525,18%,Air
US117,Jack Brown,United States,US,Phoenix,Male,Caucasian,B2C,Home Appliance,waching machine,5820,19400,3,8%,53544,28%,Air
CH44,Charlotte Chu,China,CH,Chengdu,Female,Asian,B2C,Office Equipment,Telephone,1128,4700,2,2%,9212,18%,Air
CH45,Jeremiah Chu,China,CH,Shanghai,Male,Asian,B2C,Home Appliance,Dishwasher,12768,53200,2,6%,100016,18%,Air
CH46,Miles Cho,China,CH,Beijing,Male,Asian,B2C,Office Equipment,Printer,10491,26900,3,11%,71823,18%,Air
BR24,Caleb Marquez,Brazil,BR,Rio de Janerio,Male,Latino,B2C,Home Appliance,Vacuum Cleaner,861,4100,3,7%,11439,18%,Air
BR25,Eli Soto,Brazil,BR,Rio de Janerio,Male,Latino,B2C,Home Appliance,Oven,3706,10900,1,15%,9265,18%,Air
BR26,Carter Mejia,Brazil,BR,Sao Paulo,Male,Latino,B2C,Office Equipment,Mircowave,2520,9000,3,9%,24570,18%,Air
US118,Ethan Clark,United States,US,Columbus,Male,Caucasian,B2C,Home Appliance,waching machine,14130,47100,1,7%,43803,28%,Air
US119,Asher Jackson,United States,US,Columbus,Male,Caucasian,B2C,Office Equipment,Laptop,10324,35600,2,2%,69776,18%,Air
CH47,Ayla Ng,China,CH,Beijing,Female,Asian,B2C,Home Appliance,Vacuum Cleaner,1650,5500,3,2%,16170,18%,Air
CH48,Jose Kang,China,CH,Shanghai,Male,Asian,B2C,Home Appliance,waching machine,5640,28200,3,10%,76140,28%,Air
US120,Aubrey Romero,United States,US,Phoenix,Female,Latino,B2B,Office Equipment,Oven,4692,20400,50,40%,612000,18%,Air
US121,Jaxson Wright,United States,US,Columbus,Male,Black,B2B,Office Equipment,Oven,5684,20300,18,45%,200970,18%,Air
CH49,Elias Ali,China,CH,Shanghai,Male,Asian,B2C,Office Equipment,Desktop,6604,25400,2,8%,46736,18%,Air
BR27,Nolan Pena,Brazil,BR,Sao Paulo,Male,Latino,B2C,Office Equipment,Oven,6048,18900,3,15%,48195,18%,Air
CH50,Luna Liu,China,CH,Shanghai,Female,Asian,B2C,Office Equipment,Coffee Vender Machin,12688,48800,2,6%,91744,18%,Air
US122,Brooklyn Reyes,United States,US,Columbus,Female,Latino,B2C,Office Equipment,Oven,6084,16900,1,8%,15548,18%,Air
US123,Hadley Parker,United States,US,Columbus,Female,Black,B2C,Home Appliance,Fridge,14150,56600,3,5%,161310,18%,Air
US124,Jonathan Chavez,United States,US,Seattle,Male,Latino,B2C,Home Appliance,Dishwasher,14848,51200,3,11%,136704,18%,Air
US125,Sarah Ayala,United States,US,Seattle,Female,Latino,B2C,Office Equipment,Telephone,910,3500,3,8%,9660,18%,Air
US126,Elijah Kang,United States,US,Seattle,Male,Asian,B2B,Office Equipment,Telephone,1140,3000,24,47%,38160,18%,Air
US127,Ella White,United States,US,Phoenix,Female,Caucasian,B2B,Office Equipment,Desktop,2645,11500,35,30%,281750,18%,Air
US128,Jordan Truong,United States,US,Miami,Male,Asian,B2C,Office Equipment,Printer,5592,23300,1,8%,21436,18%,Air
US129,Daniel Jordan,United States,US,Phoenix,Male,Caucasian,B2C,Home Appliance,Oven,7600,20000,2,9%,36400,18%,Air
US130,Daniel Dixon,United States,US,Austin,Male,Caucasian,B2C,Home Appliance,waching machine,20230,57800,2,3%,112132,28%,Air
CH51,Luca Duong,China,CH,Chengdu,Male,Asian,B2C,Home Appliance,Air Purifier,6208,19400,3,14%,50052,18%,Air
